NMDS Correlation w/o Step,NMDS Stress w/o Step,NMDS 70% Correlation w/ Step,NMDS 70% Stress w/ Step,NMDS 90% Correlation w/ Step,NMDS 90% Stress w/ Step
0.994472586,0.041540336,0.997223874,0.094082878,0.99743343,0.087542147
0.09132087,0.043741272,0.993931515,0.086259165,0.992418701,0.091289619
0.990864414,0.041350318,0.997499453,0.089801661,0.997791713,0.100750161
0.043541392,0.038997184,0.994465189,0.127951793,0.996130532,0.123935447
0.997535757,0.049039038,0.998832391,0.088434624,0.999171219,0.088393025
0.052450813,0.03520661,0.995229416,0.072503544,0.995181613,0.071431595
0.993851854,0.035642928,0.998245994,0.069257572,0.998852472,0.070706609
0.088463644,0.041251987,0.997129797,0.069494887,0.998482097,0.076740564
0.997863715,0.040953427,0.991054918,0.081614734,0.992254853,0.100048348
0.015137898,0.05066213,0.991978624,0.109169208,0.9950105,0.118975587
0.985025974,0.071626551,0.94587377,0.144173911,0.991280124,0.191745614
0.144679654,0.054550288,0.993072326,0.131109258,0.99260471,0.118215397
0.998112806,0.056283947,0.998492529,0.080680096,0.999273621,0.103627097
0.015942317,0.038458285,0.991760289,0.117030658,0.991894505,0.116911284
0.998878988,0.039001602,0.995608158,0.070723209,0.995594186,0.067927559
0.026502338,0.057064634,0.99535085,0.107718498,0.995863078,0.115211311
0.969511208,0.040867638,0.99572542,0.070038982,0.998155777,0.081147873
0.107189327,0.044405683,0.991584594,0.117340506,0.993042987,0.127281082
0.98798461,0.04384815,0.997448102,0.079764012,0.998821849,0.082936957
0.095805996,0.043974463,0.994327964,0.085582392,0.994255408,0.097791608
0.96285034,0.032994116,0.995927157,0.125088468,0.997763719,0.135102772
0.247343257,0.040572175,0.985991651,0.108651352,0.990611448,0.123623533
0.990520656,0.045473645,0.99597919,0.069111574,0.995588506,0.073528505
0.102947423,0.040308914,0.998776371,0.085312308,0.99937125,0.096901117
0.998688312,0.034341978,0.985239309,0.071202951,0.994230999,0.071114596
0.019600432,0.039176132,0.994378972,0.115531147,0.995124711,0.123593531
0.978438374,0.052790194,0.997524087,0.125635032,0.996424959,0.110306695
0.189116145,0.047774203,0.99734181,0.112208979,0.997635043,0.12375135
0.992472198,0.044405886,0.997420941,0.10519484,0.997721315,0.120735192
0.065633995,0.050031599,0.992128841,0.088917341,0.995881042,0.098746223
0.994333881,0.037729191,0.998947254,0.082648202,0.998297365,0.083446329
0.028208019,0.040159532,0.99920553,0.096707862,0.998611064,0.105693525
0.991015498,0.048829529,0.99580376,0.085711376,0.99690381,0.085971362
0.081656567,0.039263473,0.99579901,0.085722668,0.996049863,0.089782325
0.957799822,0.040405368,0.997384604,0.098551758,0.998671107,0.086199923
0.252223493,0.049905815,0.99295724,0.114140983,0.994831292,0.123649621
0.998540272,0.052940157,0.994148088,0.077598772,0.995059113,0.08220846
0.000333049,0.04976974,0.992512618,0.101871118,0.991313289,0.116698728
0.989936943,0.038876603,0.994117777,0.078778532,0.994283516,0.0806368
0.123981982,0.014533963,0.960631151,0.092533067,0.956390802,0.099032003
0.98919442,0.042352426,0.995663301,0.087074882,0.995803151,0.089076597
0.075168339,0.041941169,0.998316508,0.067147168,0.998721161,0.069369848
0.959291576,0.057067531,0.996299229,0.082532009,0.996615765,0.098723348
0.233461463,0.040412199,0.960027537,0.127991136,0.974027357,0.153803239
0.991336526,0.061664718,0.952276424,0.11470642,0.984200662,0.152165971
0.127351559,0.028584046,0.997812638,0.06711144,0.997757311,0.069611754
0.997599026,0.038982338,0.997896824,0.088828499,0.998567715,0.094192706
0.025165005,0.060159563,0.988821403,0.086561592,0.984451999,0.100442345
0.979666671,0.045296166,0.985744835,0.096303288,0.987651244,0.114458679
0.139912263,0.039309969,0.990835796,0.068395927,0.991136877,0.066139246
0.994342939,0.057562071,0.994656668,0.104857784,0.995639777,0.126228739
0.090165865,0.03749644,0.996750558,0.133653349,0.99642289,0.129122431
0.981011301,0.046256567,0.996206054,0.088177382,0.997036966,0.08029482
0.108443572,0.042401975,0.998489377,0.116800834,0.998481547,0.124155398
0.994569873,0.046611097,0.98556394,0.131442715,0.991568136,0.131120696
0.064029744,0.055868223,0.969521191,0.082497652,0.992289941,0.112028042
0.997568496,0.063690462,0.990053453,0.170773736,0.991740112,0.177364766
0.026572744,0.031879473,0.994685623,0.068919647,0.995006655,0.073202487
0.976095165,0.057807536,0.992706742,0.0712962,0.994130361,0.086732815
0.138095977,0.056323217,0.993954376,0.081886446,0.991946819,0.09872255
0.997827031,0.048194044,0.997304574,0.085383847,0.998339717,0.093738927
0.052922029,0.044637003,0.997875424,0.052971334,0.998530491,0.056617724
0.994094651,0.034209954,0.95367685,0.035386101,0.954878849,0.057925426
0.072641244,0.057704036,0.990307494,0.091914155,0.993519515,0.122210736
0.996455931,0.038217095,0.997478404,0.102727211,0.99629134,0.110374498
0.041235833,0.045532064,0.99627418,0.089366287,0.996278313,0.08489322
0.996782685,0.033327737,0.993407022,0.09157789,0.991420206,0.0950537
0.046758547,0.04066416,0.996490165,0.081175215,0.995133105,0.071123233
0.989764039,0.043564196,0.998238878,0.101673877,0.998260889,0.101919484
0.012866401,0.039470085,0.996218742,0.082588784,0.995748119,0.084458004
0.995777182,0.039318565,0.994974365,0.064335604,0.997049267,0.069188163
0.064146261,0.060932991,0.99597151,0.092278657,0.996843706,0.102426205
0.991848544,0.040597605,0.997551336,0.064977117,0.998331413,0.068184814
0.102414777,0.00938017,0.943391986,0.040043628,0.943391842,0.040043628
0.981224453,0.04358512,0.996721023,0.095335959,0.996821124,0.112779728
0.174983783,0.052740644,0.996219105,0.090591773,0.996198295,0.102571955
0.993982431,0.033351708,0.998052915,0.119359397,0.997501862,0.128398924
0.005376553,0.039582623,0.997793502,0.117336352,0.998327019,0.123631753
0.908629521,0.058099856,0.975983921,0.063351849,0.988904137,0.0850623
0.390341501,0.045757796,0.978010383,0.057057694,0.990668534,0.090852156
0.988586191,0.038122105,0.997514435,0.11074566,0.997577837,0.120337813
0.137004741,0.031368899,0.992451674,0.057629016,0.992188424,0.076722112
0.998330947,0.051576415,0.923940654,0.119633631,0.947671342,0.101325426
0.001528188,0.041332165,0.992026573,0.094337349,0.993840802,0.096888415
0.993918509,0.034517629,0.997916009,0.082873372,0.998027656,0.082513374
0.031173576,0.044276914,0.997839786,0.096619059,0.999103616,0.105269124
0.90248561,0.047015042,0.994884406,0.076606087,0.993129917,0.082448384
0.413035246,0.039900122,0.992618022,0.103664344,0.993201825,0.106622286
0.978386506,0.060430975,0.974027355,0.056057618,0.985681011,0.096140345
0.096583836,0.047401274,0.993042919,0.077079384,0.993440993,0.097721429
0.997785071,0.036955184,0.998279784,0.094862542,0.998709008,0.086466545
0.020645395,0.045229978,0.99791928,0.095349804,0.998132012,0.097853727
0.998470426,0.028585343,0.997402656,0.055151265,0.99856073,0.05699661
